date_time,1AA1_1,1AA1_2,1AA1_3,1AA1_4,1AA1_5,1AA2_1,1AA2_2,1AA3_1,1AA3_2,1AA4_1,1AA5_1,1AA6_1,1AA7_1,2AA1_1,2AA2_1,2AA3_1,2AA4_1,2AA4_2,2AA5_1,2AA5_2,2AA5_3,2AA5_4,2AA5_5,2AA5_6,2AA5_7,2AA6_1,2AA7_1,2AA7_2,2AA8_1,2AA8_2,2AA8_3,2AA8_4,2AA8_5,2AA8_6,2AA8_7,2AA9_1,2AA9_2,2AA9_3,2AA9_4,2AA9_5,2AA9_6,2AA9_7
2019-01-01T13:00:00,0,0,0,0,0,2832.12,2576736.75,1662237.62,84995.04,0.36,0.12,10,4323286,5816279,0,2.88,135915.2,0,307145.72,784066.38,63649.24,709242.06,0,0,1110.64,3846555.25,578618.56,8193.92,0,1712,36693.39,1207158.38,389723.25,587601.06,45391.42,684112.88,23231.16,60775.29,221553.56,0,0.01,798.98
2019-01-01T14:00:00,0,0,0,0,0,2832.84,2576800,1662281.62,84995.04,0.36,0.12,10,4323394,5816438.5,0,2.88,135917.28,0,307166.56,784088.5,63649.96,709273.06,0,0,1110.64,3846638.5,578637.75,8193.92,0,1712,36694.35,1207173,389732.97,587618.06,45391.42,684112.88,23231.4,60775.89,221558,0,0.01,798.98
2019-01-01T15:00:00,0,0,0,0,0,2833.56,2576863.5,1662329.62,84995.04,0.36,0.12,10,4323507.5,5816599.5,0,2.88,135919.52,0,307187.62,784110.75,63650.72,709304,0,0,1110.64,3846723.25,578657.75,8193.92,0,1712.04,36695.31,1207187.88,389742.91,587635.25,45391.42,684112.88,23231.64,60776.64,221562.5,0,0.01,798.98
2019-01-01T16:00:00,0,0,0,0,0,2834.28,2576926.75,1662379.25,84995.04,0.36,0.12,10,4323621.5,5816759,0,2.88,135921.77,0,307208.81,784133.06,63651.48,709334.19,0,0,1110.64,3846809.25,578678.56,8193.92,0,1712.04,36696.24,1207202.5,389752.88,587652.38,45391.42,684112.88,23232,60777.54,221567,0,0.01,798.98
2019-01-01T17:00:00,0,0,0,0,0,2835,2576990,1662428.75,84995.04,0.36,0.12,10,4323736,5816922,0,2.88,135924,0,307230,784155.25,63652.24,709364.25,0,0,1110.64,3846896.5,578700.5,8193.92,0,1712.08,36697.23,1207217.62,389762.84,587669.75,45391.42,684112.88,23232.24,60778.08,221571.5,0,0.01,798.98
2019-01-01T18:00:00,0,0,0,0,0,2835.72,2577053.25,1662477.62,84995.04,0.36,0.12,10,4323849,5817086.5,0,2.88,135926.23,0,307251.25,784177.5,63653,709396.06,0,0,1110.64,3846983.5,578721.94,8193.92,0,1712.08,36698.22,1207233,389772.72,587687.5,45391.42,684112.88,23232.54,60778.86,221576,0,0.01,798.98
2019-01-01T19:00:00,0,0,0,0,0,2836.44,2577117,1662524.75,84995.04,0.36,0.12,10,4323961,5817247,0,2.88,135928.16,0,307272.53,784199.38,63653.2,709428.06,0,0,1110.64,3847067.5,578743.19,8193.92,0,1712.12,36698.94,1207247.62,389780,587705.19,45391.42,684112.88,23232.84,60779.7,221580.5,0,0.01,798.98
2019-01-01T20:00:00,0,0,0,0,0,2837.16,2577180.25,1662572,84995.04,0.36,0.12,10,4324073,5817406,0,2.88,135929.92,0,307293.84,784221.06,63653.4,709460,0,0,1110.64,3847150.5,578764.19,8193.92,0,1712.12,36699.6,1207262.75,389787.31,587722.19,45391.42,684112.88,23233.14,60780.63,221585,0,0.01,798.98
2019-01-01T21:00:00,0,0,0,0,0,2837.88,2577243.75,1662618,84995.04,0.36,0.12,10,4324182.5,5817564,0,2.88,135931.84,0,307315.16,784242.81,63653.56,709490.31,0,0,1110.64,3847233.5,578785.44,8193.92,0,1712.12,36700.26,1207277.38,389794.59,587739.62,45391.42,684112.88,23233.4,60781.29,221589.5,0,0.01,798.98
2019-01-01T22:00:00,0,0,0,0,0,2838.6,2577307.75,1662662.75,84995.04,0.36,0.12,10,4324293,5817722.5,0,2.88,135933.77,0,307336.53,784264.62,63653.72,709520.81,0,0,1110.64,3847316.5,578806.25,8193.92,0,1712.16,36700.98,1207292.12,389801.81,587757.25,45391.42,684112.88,23233.68,60781.86,221594,0,0.01,798.98
2019-01-01T23:00:00,0,0,0,0,0,2839.2,2577371.5,1662706.75,84995.04,0.36,0.12,10,4324402.5,5817879,0,2.88,135935.52,0,307357.88,784286.38,63653.92,709550.94,0,0,1110.64,3847398,578826.75,8193.92,0,1712.16,36701.64,1207306.25,389809.12,587774.88,45391.42,684112.88,23233.98,60782.37,221598.52,0,0.01,798.98
2019-01-02T00:00:00,0,0,0,0,0,2839.92,2577434.5,1662751.25,84995.04,0.36,0.12,10,4324512,5818034.5,0,2.88,135937.44,0,307379.03,784308.31,63654.08,709580.31,0,0,1110.64,3847480,578847.06,8193.92,0,1712.2,36702.3,1207320.75,389816.41,587791.94,45391.42,684112.88,23234.22,60782.97,221603,0,0.01,798.98
2019-01-02T01:00:00,0,0,0,0,0,2840.64,2577497.75,1662792.75,84995.04,0.36,0.12,10,4324618.5,5818188.5,0,2.88,135939.36,0,307400.16,784330,63654.28,709609.94,0,0,1110.64,3847560,578866.06,8193.92,0,1712.2,36702.6,1207335.38,389823.69,587809.25,45391.42,684112.88,23234.46,60783.42,221607.5,0,0.01,798.98
