date_time,1A00_1,1A01_1,1A02_1,1A03_1,1A03_2,1A03_3,1A03_4,1A03_5,1A03_6,1A04_1,1A04_2,1A04_3,1A04_4,1A04_5,1A04_6,1A05_1,1A05_2,1A05_3,1A05_4,1A05_5,1A05_6,1A06_1,1A06_2,1A06_3,1A06_4,1A06_5,1A06_6,1A06_7,1A07_1,1A07_2,1A07_3,1A07_4,1A07_5,1A07_6,1A07_7,2A01_1,2A01_2,2A01_3,2A01_4,2A01_5,2A02_1,2A02_2,2A02_3,2A02_4,2A02_5,2A02_6,2A02_7,2A02_8,2A02_9,2A03_1,2A03_2,2A03_3,2A03_4,2A03_5,2A03_6,2A03_7,2A03_8,2A03_9,2A04_1,2A04_2,2A05_1,2A05_2,2A05_3,2A05_4,2A06_1,2A06_2,2A06_3,2A06_4,2A06_5,2A06_6,2A06_7,2A07_1,2A08_1
2019-01-01T10:00:00,3.5,5729574,1.2,627710,431212.56,415371.84,0,0,0,119102.2,113059.2,49264.26,96876.1,127230.92,0,144266.14,356255.28,198184.56,7371.68,8244.88,10.24,1547808.88,197292.16,182681.84,4023.48,0,0,0,231547.28,853633.62,0.04,0,0,0,0,6137.28,902.54,22183.03,0,1041676.81,21454.2,43839.64,46071.9,22244.92,5408.07,765667.81,963937.94,0,0,71755.41,417.77,0,16599.18,0,0,0,0,0,3042741.5,319.5,1150696,596670.19,345884.16,0,676495.25,672744.62,254335.31,54562.02,0,0.09,0,8.4,6737805
2019-01-01T11:00:00,3.5,5729683,1.2,627721.19,431220.91,415378.56,0,0,0,119103.5,113062.38,49265.01,96878.22,127231.72,0,144271.05,356273.59,198188.23,7371.84,8245.12,10.24,1547830.5,197292.95,182682.56,4023.48,0,0,0,231554.08,853650.94,0.04,0,0,0,0,6137.36,902.56,22183.33,0,1041701.88,21454.5,43840.28,46072.14,22245.4,5408.09,765683.19,963960.88,0,0,71756.91,417.77,0,16599.6,0,0,0,0,0,3042808.75,319.5,1150707.25,596681.5,345892.47,0,676506.94,672755.69,254338.2,54563.13,0,0.09,0,8.4,6737929
2019-01-01T12:00:00,3.5,5729791,1.2,627732.31,431229.31,415385.28,0,0,0,119104.8,113065.62,49265.79,96880.32,127232.52,0,144275.92,356291.88,198191.77,7372,8245.28,10.24,1547851.88,197293.77,182683.36,4023.48,0,0,0,231560.64,853668.25,0.04,0,0,0,0,6137.44,902.58,22183.62,0,1041727.38,21454.76,43840.9,46072.68,22245.88,5408.11,765698.56,963984.31,0,0,71758.38,417.77,0,16599.99,0,0,0,0,0,3042877.25,319.5,1150722.25,596692.38,345901.44,0,676519.62,672768.31,254341.02,54564.3,0,0.09,0,8.4,6738061
2019-01-01T13:00:00,3.5,5729899,1.2,627743.5,431237.59,415391.84,0,0,0,119106,113068.8,49266.51,96882.38,127233.32,0,144280.78,356310.12,198195.2,7372.16,8245.52,10.24,1547873.25,197294.56,182684.08,4023.48,0,0,0,231567.12,853685.25,0.04,0,0,0,0,6137.52,902.6,22183.85,0,1041752.56,21455,43841.52,46073.58,22246.34,5408.12,765714.88,964007.5,0,0,71759.88,417.77,0,16600.38,0,0,0,0,0,3042946.5,319.5,1150738.75,596704.06,345910.41,0,676531.44,672781.62,254343.78,54565.56,0,0.09,0,8.4,6738194
2019-01-01T14:00:00,3.5,5730008.5,1.2,627754.69,431245.97,415398.47,0,0,0,119107.4,113072.7,49267.23,96884.42,127234.04,0,144285.78,356328.66,198198.8,7372.24,8245.76,10.24,1547894.62,197295.36,182684.88,4023.48,0,0,0,231573.59,853702.75,0.04,0,0,0,0,6137.6,902.62,22184.2,0,1041777.88,21455.3,43842.16,46074.1,22246.82,5408.14,765731.5,964030.75,0,0,71761.35,417.77,0,16600.77,0,0,0,0,0,3043015.75,319.5,1150755.25,596716,345917.84,0,676544,672795.12,254346.59,54566.58,0,0.09,0,8.4,6738328
2019-01-01T15:00:00,3.5,5730118,1.2,627765.88,431254.38,415405.19,0,0,0,119108.6,113076.6,49268.01,96886.48,127234.72,0,144290.94,356347.09,198202.41,7372.4,8245.92,10.24,1547916,197296.08,182685.59,4023.6,0,0,0,231580.16,853720,0.04,0,0,0,0,6137.68,902.66,22184.49,0,1041803.38,21455.64,43842.9,46074.72,22247.3,5408.16,765748.19,964054.06,0,0,71762.85,417.77,0,16601.16,0,0,0,0,0,3043085.5,319.5,1150771.75,596728.62,345925.38,0,676556.06,672810.75,254349.55,54567.66,0,0.09,0,8.4,6738465.5
2019-01-01T16:00:00,3.5,5730228,1.2,627776.88,431262.78,415411.75,0,0,0,119110,113081.04,49268.91,96888.58,127235.44,0,144296,356365.5,198206,7372.56,8246.16,10.24,1547937.38,197296.88,182686.41,4023.9,0,0,0,231586.72,853737.25,0.04,0,0,0,0,6137.76,902.68,22184.81,0,1041830.38,21455.97,43843.6,46075.06,22247.78,5408.18,765764.81,964077.25,0,0,71764.32,417.77,0,16601.55,0,0,0,0,0,3043156.25,319.5,1150789,596741.94,345932.88,0,676568.75,672827.69,254352.36,54568.77,0,0.09,0,8.4,6738607
2019-01-01T17:00:00,3.5,5730338.5,1.2,627788.12,431271.19,415418.47,0,0,0,119111.3,113085.3,49269.84,96890.7,127236.24,0,144301.12,356384.09,198209.59,7372.72,8246.4,10.24,1547958.75,197297.69,182687.12,4024.08,0,0,0,231593.28,853754.56,0.04,0,0,0,0,6137.84,902.7,22185.19,0,1041858.44,21456.22,43844.22,46075.48,22248.26,5408.19,765781.44,964100.56,0,0,71765.82,417.77,0,16601.99,0,0,0,0,0,3043228.25,319.5,1150805.38,596754.81,345940.25,0,676582.38,672845.62,254355.19,54570.06,0,0.09,0,8.4,6738750.5
2019-01-01T18:00:00,3.5,5730447,1.2,627799,431278.69,415425.12,0,0,0,119112.6,113089.32,49270.8,96892.8,127237.04,0,144306.23,356403.19,198213.12,7372.88,8246.64,10.24,1547980.38,197298.48,182687.92,4024.08,0,0,0,231599.52,853771.81,0.04,0,0,0,0,6137.92,902.72,22185.45,0,1041886.38,21456.56,43844.96,46075.98,22248.74,5408.21,765797.69,964124,0,0,71767.29,417.77,0,16602.36,0,0,0,0,0,3043300,319.5,1150821.12,596767.75,345947.53,0,676596.94,672864.81,254358,54571.23,0,0.09,0,8.4,6738895
2019-01-01T19:00:00,3.5,5730557.5,1.2,627809.62,431285.16,415431.75,0,0,0,119113.9,113092.5,49271.79,96894.9,127237.84,0,144311.34,356422.62,198216.72,7372.96,8246.88,10.24,1548005,197299.2,182688.64,4024.08,0,0,0,231605.77,853789.19,0.04,0,0,0,0,6138,902.76,22185.74,0,1041913.81,21456.86,43845.72,46076.52,22249.22,5408.23,765813.12,964147.38,0,0,71768.79,417.77,0,16602.7,0,0,0,0,0,3043370.5,319.5,1150836.25,596780.62,345954.81,0,676609.75,672883.5,254360.81,54572.58,0,0.09,0,8.4,6739036
2019-01-01T20:00:00,3.5,5730667,1.2,627820.19,431291.62,415438.25,0,0,0,119115.4,113095.68,49272.78,96897.02,127238.56,0,144316.42,356441.94,198220.31,7373.12,8247.12,10.24,1548029.25,197300,182689.44,4024.08,0,0,0,231612,853806.5,0.04,0,0,0,0,6138.08,902.78,22186.08,0,1041940.94,21457.12,43846.44,46077.02,22249.7,5408.25,765828.5,964170.56,0,0,71770.2,417.77,0,16603.05,0,0,0,0,0,3043440,319.5,1150852.62,596793.44,345961.91,0,676622.19,672900.88,254363.58,54574.53,0,0.09,0,8.4,6739176
2019-01-01T21:00:00,3.5,5730762.5,1.2,627825.12,431298.12,415441.53,0,0,0,119117.2,113098.92,49273.77,96899.18,127239.28,0,144321.48,356461.19,198223.84,7373.28,8247.36,10.24,1548054,197300.8,182690.16,4024.08,0,0,0,231614.16,853821.62,0.04,0,0,0,0,6138.16,902.8,22186.36,0,1041967.81,21457.33,43847.24,46077.66,22250.18,5408.26,765843.81,964194.56,0,0,71771.64,417.77,0,16603.42,0,0,0,0,0,3043510.5,319.5,1150869.25,596806.25,345967.84,0,676635.19,672917.62,254366.52,54576.06,0,0.09,0,8.4,6739315
2019-01-01T22:00:00,3.5,5730857,1.2,627829.81,431304.66,415444.56,0,0,0,119118.9,113102.1,49274.73,96901.34,127240.08,0,144326.81,356479.91,198227.44,7373.52,8247.52,10.24,1548078.62,197301.52,182690.95,4024.08,0,0,0,231616.16,853836.62,0.04,0,0,0,0,6138.24,902.82,22186.69,0,1041994.38,21457.59,43847.7,46078.18,22250.66,5408.28,765859.19,964218.5,0,0,71773.08,417.77,0,16603.77,0,0,0,0,0,3043580,319.5,1150885.5,596818.62,345974.47,0,676646.56,672934.62,254369.41,54577.5,0,0.09,0,8.4,6739452
2019-01-01T23:00:00,3.5,5730951.5,1.2,627834.62,431311.12,415447.69,0,0,0,119120.4,113105.28,49275.72,96903.4,127240.88,0,144331.94,356498.28,198231.05,7373.68,8247.76,10.24,1548103.25,197302.31,182691.69,4024.08,0,0,0,231618.16,853851.69,0.04,0,0,0,0,6138.32,902.84,22186.85,0,1042020.75,21457.76,43848.18,46078.52,22251.12,5408.3,765874.38,964241.94,0,0,71774.49,417.77,0,16604.13,0,0,0,0,0,3043648.75,319.5,1150900.75,596830.25,345981.12,0,676657.5,672951.19,254372.22,54578.91,0,0.09,0,8.4,6739585.5
2019-01-02T00:00:00,3.5,5731044.5,1.2,627839.31,431317.62,415450.72,0,0,0,119122.1,113108.4,49276.62,96905.48,127241.64,0,144336.88,356516.47,198234.56,7373.92,8248,10.24,1548127.75,197303.12,182692.48,4024.08,0,0,0,231620.16,853866.62,0.04,0,0,0,0,6138.4,902.88,22187.01,0,1042046.88,21457.92,43848.64,46078.92,22251.6,5408.32,765889.75,964265.81,0,0,71775.93,417.77,0,16604.46,0,0,0,0,0,3043717.5,319.5,1150914,596841.06,345986.16,0,676667.94,672967.38,254374.98,54580.29,0,0.09,0,8.4,6739713.5
