date_time,1A01_1,1A02_1,1A03_1,1A04_1,1A04_2,1A04_3,1A05_1,1A05_2,1A05_3,1A05_4,1A06_1,1A06_2,1A06_3,1A06_4,1A06_5,1A07_1,1A07_2,1A07_3,1A07_4,1A07_5,1A07_6,1A07_7,2A01_1,2A02_1,2A03_1,2A04_1,2A05_1,2A05_2,2A05_3,2A05_4,2A06_1,2A06_2,2A06_3,2A06_4,2A06_5,2A07_1,2A07_2,2A08_1,2A08_2,2A08_3,2A08_4,2A08_5,2A08_6,2A08_7,2A08_8,2A08_9,2A09_1,2A09_2,2A09_3,2A09_4,2A09_5,2A09_6,2A09_7,2A09_8,2A09_9,2A10_1,2A10_2,2A10_3,2A10_4,2A10_5,2A10_6,2A10_7,2A10_8,2A10_9
2019-01-01T10:00:00,5714346.5,0,0,1411969.5,450707.31,98.94,829201.12,517675.69,389080.56,0,347398.44,389578.75,53274.88,0,0,145070.81,129893.34,229439.8,396381.59,0,0,0,0,6570229.5,1.35,0.3,1465088.75,969578.31,642841.44,268636.97,403966.56,359674.06,576184.62,375156.97,0,1548739.62,213.6,154.38,166.06,54440.82,69004.44,40113.6,55211.24,19765.41,0,0,18154.92,12698.72,23591.63,10133.45,11227.05,10931.4,8775.9,0,0,762.32,696.79,64249.66,79226.98,12906.57,4728.45,1037184.69,10804.58,5937.9
2019-01-01T11:00:00,5714400.5,0,0,1411990.38,450715.5,98.94,829208.62,517678.41,389085.03,0,347401.31,389578.75,53275.04,0,0,145072.8,129894.04,229439.84,396381.59,0,0,0,0,6570316.5,1.35,0.3,1465114.75,969596,642843.94,268638.16,403968.97,359675.62,576190,375158.72,0,1548768.75,213.6,154.39,166.06,54442.01,69005.8,40114.04,55211.76,19765.59,0,0,18155.19,12698.89,23592.25,10133.65,11227.1,10931.44,8775.9,0,0,762.34,696.8,64250.74,79227.95,12906.61,4728.51,1037205.81,10804.95,5938.08
2019-01-01T12:00:00,5714462,0,0,1412012.12,450723.69,98.94,829217.75,517681.91,389092.09,0,347404.38,389578.75,53275.2,0,0,145074.59,129894.74,229439.91,396381.59,0,0,0,0,6570412.5,1.35,0.3,1465143,969613.81,642846.62,268641.81,403971.38,359677.16,576195.25,375163.38,0,1548798.38,213.6,154.39,166.06,54443.2,69007.16,40114.6,55212.36,19765.89,0,0,18155.49,12699.09,23592.82,10133.85,11227.15,10931.48,8775.95,0,0,762.35,696.81,64251.81,79228.92,12906.64,4728.57,1037227.19,10805.33,5938.24
2019-01-01T13:00:00,5714539.5,0,0,1412034,450731.97,98.94,829231.69,517689.44,389099.69,0,347407.31,389578.75,53275.44,0,0,145076.22,129895.44,229439.97,396381.59,0,0,0,0,6570510,1.35,0.3,1465172.5,969631.19,642849.25,268645.94,403973.84,359678.69,576200,375168.72,0,1548828.75,213.6,154.39,166.06,54444.39,69008.52,40115.12,55212.96,19766.1,0,0,18155.79,12699.27,23593.5,10134.15,11227.15,10931.52,8776,0,0,762.37,696.83,64252.89,79229.9,12906.68,4728.63,1037249,10805.7,5938.41
2019-01-01T14:00:00,5714618.5,0,0,1412056.25,450740.22,98.94,829244.62,517696.16,389104.31,0,347410.38,389578.75,53275.6,0,0,145078.3,129896.14,229440,396381.59,0,0,0,0,6570610,1.35,0.3,1465201.25,969648.62,642851.88,268650.06,403976.31,359680.22,576206.38,375176,0,1548858.38,213.6,154.39,166.08,54445.58,69009.88,40115.68,55213.6,19766.46,0,0,18156.09,12699.44,23594.08,10134.35,11227.2,10931.56,8776.1,0,0,762.39,696.84,64253.97,79230.86,12906.71,4728.7,1037270.38,10806.08,5938.57
2019-01-01T15:00:00,5714695.5,0,0,1412079.12,450748.28,98.94,829257.75,517702.25,389113.91,0,347413.19,389578.75,53275.76,0,0,145080,129896.84,229440.06,396381.59,0,0,0,0,6570712,1.35,0.3,1465231,969666.19,642854.5,268653.62,403978.72,359681.78,576214.62,375184.31,0,1548888,213.6,154.4,166.08,54446.77,69011.25,40116.12,55214.16,19766.7,0,0,18156.36,12699.61,23594.68,10134.55,11227.25,10931.56,8776.2,0,0,762.4,696.86,64255.05,79231.84,12906.76,4728.75,1037291.81,10806.46,5938.75
2019-01-01T16:00:00,5714766,0,0,1412102.12,450756.38,98.94,829270.56,517708.81,389123.28,0,347416.19,389578.75,53276,0,0,145081.66,129897.64,229440.12,396381.59,0,0,0,0,6570812.5,1.35,0.3,1465260.62,969683.88,642857.19,268657.12,403981.19,359683.31,576220.31,375192.72,0,1548917.62,213.6,154.4,166.08,54447.95,69012.59,40116.56,55214.76,19766.85,0,0,18156.66,12699.77,23595.26,10134.7,11227.25,10931.6,8776.25,0,0,762.42,696.87,64256.13,79232.82,12906.79,4728.82,1037313.12,10806.83,5938.92
2019-01-01T17:00:00,5714836.5,0,0,1412124.5,450764.59,98.94,829284,517715.19,389132.62,0,347419.12,389578.75,53276,0,0,145083.52,129898.46,229440.19,396381.59,0,0,0,0,6570913.5,1.35,0.3,1465291,969701.69,642859.81,268660.62,403983.53,359684.84,576225.62,375200.47,0,1548947.25,213.6,154.4,166.08,54449.13,69013.95,40117.12,55215.44,19767.03,0,0,18156.96,12699.94,23595.94,10134.9,11227.3,10931.64,8776.25,0,0,762.44,696.88,64257.21,79233.78,12906.83,4728.87,1037334.62,10807.21,5939.09
2019-01-01T18:00:00,5714913,0,0,1412147.38,450773.06,98.94,829297.44,517721.75,389141.12,0,347422.12,389578.75,53276,0,0,145085.06,129899.24,229440.2,396381.59,0,0,0,0,6571015.5,1.35,0.3,1465322.38,969719.69,642862.44,268664.12,403986,359686.38,576231.19,375208.16,0,1548976.75,213.6,154.4,166.09,54450.32,69015.32,40117.48,55216.04,19767.18,0,0,18157.23,12700.15,23596.52,10135.1,11227.35,10931.68,8776.3,0,0,762.45,696.9,64258.29,79234.76,12906.86,4728.94,1037356.19,10807.58,5939.27
2019-01-01T19:00:00,5714992,0,0,1412169.75,450781.59,98.94,829311.81,517728.47,389146.47,0,347424.84,389578.75,53276,0,0,145086.55,129900.06,229440.27,396381.59,0,0,0,0,6571115.5,1.35,0.3,1465352,969737.62,642865.06,268667.69,403988.41,359687.94,576236.62,375216.09,0,1549006.38,213.6,154.41,166.09,54451.52,69016.68,40118.08,55216.6,19767.51,0,0,18157.53,12700.31,23597.11,10135.25,11227.4,10931.72,8776.3,0,0,762.47,696.91,64259.36,79235.73,12906.9,4729,1037377.81,10807.96,5939.43
